,daily,weekly,holiday,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_litter
2022-04-30,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.0,0.0,0.0,0.006896551724137931,0.18620689655172412,0.1413793103448276,0.1482758620689655,0.12758620689655173,0.3,0.2,0.04827586206896552,0.006896551724137931,5.0
2022-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.017241379310344827,0.0034482758620689655,0.010344827586206896,0.13448275862068965,0.0034482758620689655,0.12413793103448276,0.0,0.010344827586206896,0.20344827586206896,0.12413793103448276,0.15517241379310345,0.11724137931034483,0.3448275862068966,0.15517241379310345,0.041379310344827586,0.0034482758620689655,52.0
2022-05-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0,0.21724137931034482,0.1413793103448276,0.15517241379310345,0.12413793103448276,0.3448275862068966,0.15517241379310345,0.04827586206896552,0.0034482758620689655,1.0
2022-05-04,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.013793103448275862,0.0034482758620689655,0.013793103448275862,0.0,0.027586206896551724,0.20344827586206896,0.13448275862068965,0.1413793103448276,0.11724137931034483,0.3,0.16551724137931034,0.034482758620689655,0.0,15.0
2022-05-05,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.0,0.0,0.22758620689655173,0.15517241379310345,0.1724137931034483,0.1413793103448276,0.3448275862068966,0.19310344827586207,0.041379310344827586,0.0034482758620689655,2.0
2022-05-06,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006896551724137931,0.0,0.0034482758620689655,0.0034482758620689655,0.06896551724137931,0.0034482758620689655,0.06206896551724138,0.0,0.020689655172413793,0.23448275862068965,0.1586206896551724,0.1724137931034483,0.1586206896551724,0.3448275862068966,0.16896551724137931,0.04827586206896552,0.0,31.0
2022-05-07,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02413793103448276,0.0,0.017241379310344827,0.0,0.0034482758620689655,0.22758620689655173,0.18620689655172412,0.18620689655172412,0.15517241379310345,0.32413793103448274,0.20689655172413793,0.05517241379310345,0.006896551724137931,8.0
2022-05-08,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020689655172413793,0.017241379310344827,0.0034482758620689655,0.010344827586206896,0.15172413793103448,0.006896551724137931,0.10689655172413792,0.0,0.027586206896551724,0.2103448275862069,0.1586206896551724,0.1586206896551724,0.13448275862068965,0.3,0.16551724137931034,0.04482758620689655,0.020689655172413793,69.0
2022-05-09,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.006896551724137931,0.0,0.0034482758620689655,0.010344827586206896,0.0,0.013793103448275862,0.0,0.010344827586206896,0.24137931034482757,0.15517241379310345,0.1724137931034483,0.13448275862068965,0.3,0.13103448275862067,0.03103448275862069,0.0034482758620689655,10.0
2022-05-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.0,0.0,0.010344827586206896,0.03103448275862069,0.0,0.041379310344827586,0.0,0.02413793103448276,0.2482758620689655,0.18620689655172412,0.1793103448275862,0.1413793103448276,0.2655172413793103,0.12758620689655173,0.08620689655172414,0.017241379310344827,20.0
2022-05-11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.0,0.006896551724137931,0.0,0.0,0.2206896551724138,0.1793103448275862,0.1896551724137931,0.15517241379310345,0.32413793103448274,0.16896551724137931,0.1,0.02413793103448276,3.0
2022-05-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020689655172413793,0.020689655172413793,0.0,0.013793103448275862,0.1413793103448276,0.006896551724137931,0.12413793103448276,0.010344827586206896,0.03103448275862069,0.21724137931034482,0.18620689655172412,0.1724137931034483,0.15517241379310345,0.2827586206896552,0.1896551724137931,0.07586206896551724,0.034482758620689655,71.0
2022-05-14,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.02413793103448276,0.010344827586206896,0.03103448275862069,0.25862068965517243,0.0,0.1724137931034483,0.0034482758620689655,0.06206896551724138,0.23448275862068965,0.1724137931034483,0.1793103448275862,0.15517241379310345,0.32413793103448274,0.1482758620689655,0.041379310344827586,0.006896551724137931,114.0
2022-05-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.15517241379310345,0.017241379310344827,0.010344827586206896,0.16896551724137931,0.006896551724137931,0.13793103448275862,0.0,0.16206896551724137,0.25862068965517243,0.1724137931034483,0.18620689655172412,0.15517241379310345,0.30344827586206896,0.1413793103448276,0.04482758620689655,0.010344827586206896,154.0
2022-05-16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04827586206896552,0.2,0.006896551724137931,0.013793103448275862,0.0793103448275862,0.006896551724137931,0.0793103448275862,0.0,0.24482758620689654,0.2517241379310345,0.1896551724137931,0.2103448275862069,0.1586206896551724,0.32413793103448274,0.16896551724137931,0.07586206896551724,0.010344827586206896,174.0
2022-05-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25517241379310346,0.24137931034482757,0.017241379310344827,0.017241379310344827,0.11379310344827587,0.017241379310344827,0.16896551724137931,0.0,0.48275862068965514,0.25862068965517243,0.18620689655172412,0.2103448275862069,0.1793103448275862,0.3448275862068966,0.19655172413793104,0.041379310344827586,0.0034482758620689655,332.0
2022-05-18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33793103448275863,0.35172413793103446,0.017241379310344827,0.02413793103448276,0.12758620689655173,0.06206896551724138,0.15172413793103448,0.0,0.6655172413793103,0.2482758620689655,0.20344827586206896,0.20344827586206896,0.1793103448275862,0.32413793103448274,0.1724137931034483,0.04482758620689655,0.006896551724137931,460.0
2022-05-20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013793103448275862,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.010344827586206896,0.22758620689655173,0.1724137931034483,0.19655172413793104,0.16551724137931034,0.3448275862068966,0.19310344827586207,0.06896551724137931,0.0,9.0
2022-05-21,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.010344827586206896,0.0,0.0,0.006896551724137931,0.0034482758620689655,0.0,0.0,0.027586206896551724,0.21724137931034482,0.1724137931034483,0.1793103448275862,0.16551724137931034,0.32413793103448274,0.21724137931034482,0.06206896551724138,0.0,17.0
2022-05-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.034482758620689655,0.0034482758620689655,0.0034482758620689655,0.06896551724137931,0.006896551724137931,0.05172413793103448,0.0,0.034482758620689655,0.24137931034482757,0.16551724137931034,0.1793103448275862,0.1586206896551724,0.3448275862068966,0.1586206896551724,0.034482758620689655,0.0,45.0
2022-05-23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.24137931034482757,0.1896551724137931,0.20344827586206896,0.16551724137931034,0.3448275862068966,0.20689655172413793,0.05862068965517241,0.0034482758620689655,3.0
2022-05-25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006896551724137931,0.017241379310344827,0.0,0.0,0.05517241379310345,0.0,0.03103448275862069,0.0034482758620689655,0.04482758620689655,0.21724137931034482,0.16551724137931034,0.18620689655172412,0.1482758620689655,0.3448275862068966,0.16551724137931034,0.10344827586206896,0.020689655172413793,37.0
2022-05-27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.24482758620689654,0.0034482758620689655,0.034482758620689655,0.20689655172413793,0.006896551724137931,0.5379310344827586,0.0,0.1103448275862069,0.20344827586206896,0.18620689655172412,0.1896551724137931,0.1482758620689655,0.32413793103448274,0.1896551724137931,0.07586206896551724,0.02413793103448276,466.0
2022-05-28,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.20344827586206896,0.1586206896551724,0.16551724137931034,0.1413793103448276,0.30344827586206896,0.1896551724137931,0.06896551724137931,0.017241379310344827,2.0
2022-05-29,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1413793103448276,0.10689655172413792,0.006896551724137931,0.013793103448275862,0.1103448275862069,0.013793103448275862,0.14482758620689656,0.0,0.4,0.20344827586206896,0.15517241379310345,0.1724137931034483,0.1413793103448276,0.3,0.2,0.05517241379310345,0.010344827586206896,230.0
2022-05-30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.19655172413793104,0.1482758620689655,0.15517241379310345,0.13448275862068965,0.32068965517241377,0.1896551724137931,0.04482758620689655,0.0,2.0
2022-05-31,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16206896551724137,0.20689655172413793,0.010344827586206896,0.020689655172413793,0.12413793103448276,0.0034482758620689655,0.21724137931034482,0.04827586206896552,0.28620689655172415,0.2206896551724138,0.1586206896551724,0.16551724137931034,0.13448275862068965,0.32413793103448274,0.15517241379310345,0.041379310344827586,0.0034482758620689655,250.0
2022-06-01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.0,0.010344827586206896,0.2103448275862069,0.16551724137931034,0.1724137931034483,0.15517241379310345,0.3448275862068966,0.21724137931034482,0.05862068965517241,0.010344827586206896,6.0
2022-06-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0034482758620689655,0.0,0.0,0.03103448275862069,0.0034482758620689655,0.02413793103448276,0.0,0.020689655172413793,0.22758620689655173,0.15517241379310345,0.1793103448275862,0.1482758620689655,0.3448275862068966,0.1586206896551724,0.041379310344827586,0.0,17.0
2022-06-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5689655172413793,0.041379310344827586,0.0034482758620689655,0.07586206896551724,0.07241379310344828,0.0,0.28620689655172415,0.010344827586206896,0.013793103448275862,0.2482758620689655,0.1793103448275862,0.1793103448275862,0.1586206896551724,0.2827586206896552,0.1482758620689655,0.05862068965517241,0.020689655172413793,228.0
2022-06-04,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.05862068965517241,0.0,0.0,0.0,0.010344827586206896,0.0034482758620689655,0.010344827586206896,0.0034482758620689655,0.017241379310344827,0.23448275862068965,0.18620689655172412,0.18620689655172412,0.16551724137931034,0.30344827586206896,0.20689655172413793,0.06206896551724138,0.041379310344827586,27.0
2022-06-05,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3413793103448276,0.16551724137931034,0.0,0.006896551724137931,0.10344827586206896,0.0034482758620689655,0.19310344827586207,0.0034482758620689655,0.2896551724137931,0.22758620689655173,0.1896551724137931,0.21724137931034482,0.1724137931034483,0.3448275862068966,0.23448275862068965,0.06896551724137931,0.0034482758620689655,265.0
2022-06-06,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.2206896551724138,0.18620689655172412,0.1896551724137931,0.1724137931034483,0.32413793103448274,0.21724137931034482,0.08620689655172414,0.027586206896551724,4.0
2022-06-07,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.2206896551724138,0.1896551724137931,0.18620689655172412,0.16551724137931034,0.30344827586206896,0.20344827586206896,0.06206896551724138,0.006896551724137931,1.0
2022-06-08,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.020689655172413793,0.0034482758620689655,0.013793103448275862,0.0,0.017241379310344827,0.22758620689655173,0.19655172413793104,0.20344827586206896,0.18620689655172412,0.32413793103448274,0.2517241379310345,0.06206896551724138,0.020689655172413793,14.0
2022-06-10,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.0,0.0,0.2482758620689655,0.1896551724137931,0.20344827586206896,0.1724137931034483,0.32413793103448274,0.19310344827586207,0.07241379310344828,0.02413793103448276,2.0
2022-06-11,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.03793103448275862,0.006896551724137931,0.0034482758620689655,0.15517241379310345,0.0,0.11379310344827587,0.0,0.03103448275862069,0.24137931034482757,0.19655172413793104,0.1896551724137931,0.1482758620689655,0.30344827586206896,0.13793103448275862,0.05517241379310345,0.020689655172413793,69.0
2022-06-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06206896551724138,0.03793103448275862,0.0,0.04482758620689655,0.017241379310344827,0.0,0.05862068965517241,0.0,0.03793103448275862,0.22758620689655173,0.18620689655172412,0.18620689655172412,0.1724137931034483,0.32413793103448274,0.19310344827586207,0.06206896551724138,0.010344827586206896,58.0
2022-06-13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013793103448275862,0.1793103448275862,0.0,0.020689655172413793,0.11379310344827587,0.010344827586206896,0.1103448275862069,0.017241379310344827,0.21724137931034482,0.21724137931034482,0.1793103448275862,0.1896551724137931,0.15517241379310345,0.32413793103448274,0.1896551724137931,0.05517241379310345,0.006896551724137931,166.0
2022-06-14,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.020689655172413793,0.0,0.0,0.06896551724137931,0.0,0.041379310344827586,0.0034482758620689655,0.03793103448275862,0.23448275862068965,0.16551724137931034,0.1793103448275862,0.15517241379310345,0.32413793103448274,0.16896551724137931,0.03103448275862069,0.0,39.0
2022-06-15,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006896551724137931,0.0,0.0,0.03793103448275862,0.0,0.020689655172413793,0.0,0.03793103448275862,0.2482758620689655,0.1793103448275862,0.18620689655172412,0.1586206896551724,0.32413793103448274,0.1413793103448276,0.041379310344827586,0.006896551724137931,24.0
2022-06-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.010344827586206896,0.0,0.006896551724137931,0.0,0.034482758620689655,0.2896551724137931,0.20344827586206896,0.19655172413793104,0.1793103448275862,0.30344827586206896,0.12068965517241378,0.05172413793103448,0.0034482758620689655,15.0
2022-06-18,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.013793103448275862,0.1482758620689655,0.041379310344827586,0.017241379310344827,0.05862068965517241,0.0,0.07241379310344828,0.006896551724137931,0.12413793103448276,0.2655172413793103,0.20344827586206896,0.2206896551724138,0.16551724137931034,0.30344827586206896,0.19655172413793104,0.05517241379310345,0.006896551724137931,119.0
2022-06-19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.0,0.017241379310344827,0.0,0.013793103448275862,0.0,0.006896551724137931,0.2206896551724138,0.1896551724137931,0.18620689655172412,0.15517241379310345,0.30344827586206896,0.20344827586206896,0.06206896551724138,0.020689655172413793,11.0
2022-06-20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0,0.0,0.22758620689655173,0.1793103448275862,0.1793103448275862,0.1586206896551724,0.30344827586206896,0.1896551724137931,0.05517241379310345,0.010344827586206896,2.0
2022-06-22,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25862068965517243,0.1724137931034483,0.20344827586206896,0.12413793103448276,0.3448275862068966,0.08620689655172414,0.04827586206896552,0.0034482758620689655,1.0
2022-06-23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0,0.296551724137931,0.20344827586206896,0.21724137931034482,0.1896551724137931,0.30344827586206896,0.14482758620689656,0.04827586206896552,0.0034482758620689655,1.0
2022-06-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.03103448275862069,0.0034482758620689655,0.034482758620689655,0.0034482758620689655,0.020689655172413793,0.2517241379310345,0.2206896551724138,0.2206896551724138,0.1896551724137931,0.32413793103448274,0.19655172413793104,0.07241379310344828,0.006896551724137931,20.0
2022-06-25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0034482758620689655,0.006896551724137931,0.0,0.006896551724137931,0.034482758620689655,0.0,0.034482758620689655,0.0,0.020689655172413793,0.2482758620689655,0.2103448275862069,0.2103448275862069,0.1896551724137931,0.32413793103448274,0.20689655172413793,0.04827586206896552,0.0034482758620689655,21.0
2022-06-26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.06896551724137931,0.010344827586206896,0.0034482758620689655,0.07241379310344828,0.0,0.027586206896551724,0.0,0.10689655172413792,0.2482758620689655,0.20344827586206896,0.2103448275862069,0.1724137931034483,0.3448275862068966,0.16896551724137931,0.04827586206896552,0.0034482758620689655,79.0
2022-06-27,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.041379310344827586,0.0034482758620689655,0.006896551724137931,0.06896551724137931,0.006896551724137931,0.05862068965517241,0.0,0.05862068965517241,0.23448275862068965,0.1896551724137931,0.20344827586206896,0.1724137931034483,0.32413793103448274,0.20344827586206896,0.08275862068965517,0.0,57.0
2022-06-28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.2517241379310345,0.1896551724137931,0.1896551724137931,0.16551724137931034,0.30344827586206896,0.1413793103448276,0.04482758620689655,0.017241379310344827,1.0
2022-06-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.017241379310344827,0.0,0.0034482758620689655,0.034482758620689655,0.0,0.03103448275862069,0.0,0.02413793103448276,0.2793103448275862,0.2103448275862069,0.20344827586206896,0.1724137931034483,0.2655172413793103,0.11724137931034483,0.05517241379310345,0.006896551724137931,23.0
2022-06-30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.027586206896551724,0.0,0.02413793103448276,0.0,0.006896551724137931,0.24137931034482757,0.1896551724137931,0.2103448275862069,0.18620689655172412,0.32413793103448274,0.20689655172413793,0.06896551724137931,0.006896551724137931,10.0
2022-07-02,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.32068965517241377,0.0,0.0,0.0,0.0034482758620689655,0.0,0.12068965517241378,0.010344827586206896,0.0,0.2517241379310345,0.1896551724137931,0.18620689655172412,0.1586206896551724,0.30344827586206896,0.1482758620689655,0.04827586206896552,0.0034482758620689655,97.0
2022-07-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.020689655172413793,0.0,0.0034482758620689655,0.006896551724137931,0.0,0.0,0.0,0.0,0.24137931034482757,0.19655172413793104,0.20344827586206896,0.1724137931034483,0.30344827586206896,0.20689655172413793,0.06206896551724138,0.0034482758620689655,9.0
2022-07-06,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.006896551724137931,0.0,0.0,0.013793103448275862,0.0,0.006896551724137931,0.0034482758620689655,0.013793103448275862,0.24137931034482757,0.1793103448275862,0.20344827586206896,0.1586206896551724,0.28620689655172415,0.1482758620689655,0.06896551724137931,0.017241379310344827,14.0
2022-07-09,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03103448275862069,0.010344827586206896,0.0034482758620689655,0.0034482758620689655,0.03793103448275862,0.0034482758620689655,0.02413793103448276,0.0,0.04482758620689655,0.24137931034482757,0.20344827586206896,0.2103448275862069,0.16551724137931034,0.3448275862068966,0.19310344827586207,0.06206896551724138,0.006896551724137931,39.0
2022-07-10,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0034482758620689655,0.23448275862068965,0.1896551724137931,0.19655172413793104,0.1724137931034483,0.32413793103448274,0.1793103448275862,0.05172413793103448,0.017241379310344827,3.0
2022-07-11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.020689655172413793,0.0,0.0,0.0,0.0,0.006896551724137931,0.0034482758620689655,0.034482758620689655,0.25862068965517243,0.2103448275862069,0.2103448275862069,0.1896551724137931,0.32413793103448274,0.1724137931034483,0.034482758620689655,0.010344827586206896,20.0
2022-07-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.041379310344827586,0.05172413793103448,0.006896551724137931,0.006896551724137931,0.017241379310344827,0.010344827586206896,0.017241379310344827,0.006896551724137931,0.1,0.27241379310344827,0.19655172413793104,0.21724137931034482,0.1896551724137931,0.3448275862068966,0.15172413793103448,0.041379310344827586,0.0034482758620689655,70.0
2022-07-16,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.017241379310344827,0.0,0.0034482758620689655,0.04482758620689655,0.0,0.041379310344827586,0.0,0.013793103448275862,0.23448275862068965,0.1896551724137931,0.19655172413793104,0.16551724137931034,0.30344827586206896,0.16896551724137931,0.05172413793103448,0.0034482758620689655,26.0
2022-07-17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010344827586206896,0.013793103448275862,0.0,0.010344827586206896,0.04482758620689655,0.0,0.05517241379310345,0.0,0.02413793103448276,0.2655172413793103,0.1793103448275862,0.19655172413793104,0.16551724137931034,0.32413793103448274,0.13448275862068965,0.027586206896551724,0.0034482758620689655,30.0
2022-07-18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.010344827586206896,0.006896551724137931,0.0,0.013793103448275862,0.0,0.0034482758620689655,0.0,0.010344827586206896,0.30344827586206896,0.20344827586206896,0.20344827586206896,0.1586206896551724,0.2827586206896552,0.09310344827586206,0.027586206896551724,0.0034482758620689655,12.0
2022-07-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.3275862068965517,0.22758620689655173,0.20344827586206896,0.1793103448275862,0.2689655172413793,0.08620689655172414,0.04827586206896552,0.006896551724137931,1.0
2022-07-20,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.006896551724137931,0.02413793103448276,0.006896551724137931,0.0,0.03103448275862069,0.017241379310344827,0.034482758620689655,0.006896551724137931,0.04827586206896552,0.2793103448275862,0.24137931034482757,0.2206896551724138,0.1724137931034483,0.2689655172413793,0.11724137931034483,0.0793103448275862,0.020689655172413793,41.0
2022-07-21,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23448275862068965,0.2103448275862069,0.2206896551724138,0.1896551724137931,0.3448275862068966,0.2689655172413793,0.05862068965517241,0.010344827586206896,1.0
2022-07-22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0034482758620689655,0.0,0.010344827586206896,0.0,0.010344827586206896,0.0,0.0,0.23448275862068965,0.1896551724137931,0.19655172413793104,0.16551724137931034,0.32413793103448274,0.19310344827586207,0.03103448275862069,0.0034482758620689655,5.0
2022-07-23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.25862068965517243,0.18620689655172412,0.20344827586206896,0.1793103448275862,0.3448275862068966,0.16206896551724137,0.03103448275862069,0.0034482758620689655,2.0
2022-07-24,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.013793103448275862,0.0034482758620689655,0.0,0.006896551724137931,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.02413793103448276,0.2896551724137931,0.2103448275862069,0.21724137931034482,0.19655172413793104,0.30344827586206896,0.14482758620689656,0.06206896551724138,0.0,16.0
2022-07-25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006896551724137931,0.0034482758620689655,0.0,0.0,0.0,0.013793103448275862,0.2517241379310345,0.22758620689655173,0.21724137931034482,0.1896551724137931,0.28620689655172415,0.18275862068965518,0.0896551724137931,0.0,7.0
2022-07-28,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027586206896551724,0.0896551724137931,0.006896551724137931,0.027586206896551724,0.034482758620689655,0.0034482758620689655,0.06206896551724138,0.020689655172413793,0.13103448275862067,0.24137931034482757,0.1896551724137931,0.1793103448275862,0.1586206896551724,0.2827586206896552,0.16896551724137931,0.05172413793103448,0.020689655172413793,99.0
2022-07-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.006896551724137931,0.0,0.0034482758620689655,0.25862068965517243,0.20344827586206896,0.20344827586206896,0.1793103448275862,0.30344827586206896,0.16206896551724137,0.05172413793103448,0.006896551724137931,3.0
2022-07-31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.24137931034482757,0.2206896551724138,0.22758620689655173,0.19655172413793104,0.3448275862068966,0.2655172413793103,0.06206896551724138,0.006896551724137931,1.0
2022-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0034482758620689655,0.0,0.006896551724137931,0.0034482758620689655,0.0,0.010344827586206896,0.0034482758620689655,0.0,0.2482758620689655,0.20344827586206896,0.2206896551724138,0.1724137931034483,0.3448275862068966,0.1586206896551724,0.034482758620689655,0.010344827586206896,5.0
2022-08-02,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.0034482758620689655,0.0,0.0,0.27241379310344827,0.20344827586206896,0.2206896551724138,0.16551724137931034,0.28620689655172415,0.1724137931034483,0.07241379310344828,0.017241379310344827,1.0
2022-08-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06896551724137931,0.010344827586206896,0.0,0.0034482758620689655,0.027586206896551724,0.0,0.03103448275862069,0.0,0.02413793103448276,0.2827586206896552,0.2206896551724138,0.22758620689655173,0.20344827586206896,0.32413793103448274,0.16551724137931034,0.05862068965517241,0.010344827586206896,39.0
2022-08-04,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006896551724137931,0.0,0.0,0.017241379310344827,0.0,0.0034482758620689655,0.0,0.0,0.27241379310344827,0.2206896551724138,0.2206896551724138,0.1896551724137931,0.30344827586206896,0.16206896551724137,0.04827586206896552,0.0034482758620689655,7.0
2022-08-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006896551724137931,0.0,0.0,0.013793103448275862,0.0,0.010344827586206896,0.0,0.02413793103448276,0.24137931034482757,0.1896551724137931,0.19655172413793104,0.1586206896551724,0.30344827586206896,0.16896551724137931,0.05862068965517241,0.0034482758620689655,13.0
2022-08-06,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0034482758620689655,0.010344827586206896,0.0,0.0,0.020689655172413793,0.0,0.020689655172413793,0.0,0.010344827586206896,0.24137931034482757,0.1724137931034483,0.1793103448275862,0.1586206896551724,0.32413793103448274,0.1586206896551724,0.041379310344827586,0.0034482758620689655,13.0
